Name,5 Minutes,15 Minutes,30 Minutes,Hourly,5 Hours,Daily,Weekly,Monthly,Datetime
Macquarie Mexico Real Estate,Strong Buy,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy,10/28/20 22:06:05
Concentradora Fibra Danhos,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Becle,Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,10/28/20 22:06:05
Cemex,Strong Buy,Strong Buy,Buy,Neutral,Strong Sell,Sell,Strong Buy,Buy,10/28/20 22:06:05
Grupo Comercial Chedraui,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Sell,10/28/20 22:06:05
Santander Mexico B,Strong Buy,Buy,Strong Sell,Strong Sell,Sell,Neutral,Neutral,Strong Sell,10/28/20 22:06:05
Bolsa Mexicana De Valores,Strong Sell,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Buy,10/28/20 22:06:05
Bimbo,Strong Sell,Strong Sell,Sell,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy,10/28/20 22:06:05
Banco Del Bajio,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Sell,10/28/20 22:06:05
Industrias Bachoco,Neutral,Buy,Neutral,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
TV Azteca Cpo,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
America Movil,Sell,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Asur B,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral,Buy,Strong Sell,10/28/20 22:06:05
